Agustín;39;San Lorenzo
Anibal;22;Velez
Nicolás;24;Huracán
Mariano;44;Velez
Juan;43;San Lorenzo
Agustín;48;San Lorenzo
Luis;67;Gimnasia LP
Matías;22;Velez
Enrique;67;Estudiantes
Mauro;66;Huracán
Mauro;40;Boca
Daniel;38;River
Luis;69;Newells
Nicolás;68;River
Nicolás;33;River
Mauro;31;Racing
Federico;63;Racing
Enrique;32;Velez
Mauro;43;Velez
Martín;54;Huracán
Luis;27;Huracán
Daniel;56;River
Enrique;60;Newells
Mauro;21;Gimnasia LP
Alejandro;55;Velez
Marcelo;61;Gimnasia LP
Alejo;34;Gimnasia LP
Daniel;21;Newells
Nicolás;30;Newells
Yago;26;Gimnasia LP
Mariano;26;Racing
Javier;34;Rosario Central
Adrián;20;Estudiantes
Yago;25;Rosario Central
Adrián;66;Estudiantes
Alejo;33;Estudiantes
Nicolás;34;Independiente
Javier;64;Racing
Alejo;44;Gimnasia LP
Mariano;28;Rosario Central
Martín;58;River
Adrián;67;Estudiantes
Santiago;65;Boca
Federico;24;Huracán
Mariano;48;Rosario Central
Matías;30;Independiente
Mariano;23;Racing
Luis;51;River
Enrique;34;San Lorenzo
Federico;51;San Lorenzo
Alejandro;52;Boca
Fernando;50;Newells
Alejandro;48;Newells
Mauro;18;Independiente
Nicolás;63;Huracán
Alejo;70;Newells
Enrique;57;San Lorenzo
Marcelo;64;Huracán
Daniel;21;Gimnasia LP
Fernando;28;Independiente
Adrián;37;Huracán
Juan;37;River
Anibal;47;San Lorenzo
Fernando;67;Gimnasia LP
Juan;22;Gimnasia LP
Mariano;23;Gimnasia LP
Juan;25;San Lorenzo
Santiago;32;Independiente
Mauro;57;San Lorenzo
Luis;68;Rosario Central
Santiago;37;River
Federico;60;Boca
Alejandro;25;Estudiantes
Mauro;60;Racing
Martín;69;Velez
Juan;64;River
Nicolás;37;Rosario Central
Federico;35;Estudiantes
Martín;35;San Lorenzo
Enrique;28;Huracán
Martín;20;San Lorenzo
Federico;58;Estudiantes
Javier;52;Newells
Mariano;65;Velez
Yago;43;River
Alejandro;23;Newells
Anibal;50;Gimnasia LP
Anibal;47;Velez
Enrique;55;Estudiantes
Anibal;59;Independiente
Mariano;64;Estudiantes
Mariano;32;Independiente
Yago;38;Rosario Central
Luis;22;Velez
Agustín;24;Estudiantes
Nicolás;68;Boca
Juan;53;Independiente
Juan;25;Velez
Anibal;24;Gimnasia LP
Enrique;40;Racing
Anibal;56;River
Daniel;20;Gimnasia LP
Alejandro;59;Velez
Federico;47;Boca
Federico;30;Estudiantes
Alejandro;52;Newells
Marcelo;60;Newells
Matías;48;Racing
Alejandro;25;Racing
Daniel;66;Rosario Central
Fernando;60;Velez
Martín;61;Boca
Nicolás;38;Independiente
Martín;35;Racing
Adrián;36;Racing
Yago;51;Newells
Enrique;23;San Lorenzo
Anibal;19;Racing
Juan;58;Newells
Federico;67;San Lorenzo
Luis;47;Rosario Central
Martín;47;San Lorenzo
Yago;25;Racing
Matías;62;Estudiantes
Anibal;64;Rosario Central
Mauro;53;San Lorenzo
Federico;42;Gimnasia LP
Nicolás;47;Huracán
Matías;38;Newells
Daniel;32;Velez
Marcelo;20;Boca
Juan;30;Boca
Marcelo;29;Rosario Central
Marcelo;65;San Lorenzo
Anibal;63;Rosario Central
Fernando;28;Racing
Alejo;32;Newells
Enrique;31;Independiente
Adrián;42;River
Anibal;28;Racing
Martín;20;Newells
Adrián;39;Independiente
Mauro;33;Independiente
Javier;27;Racing
Santiago;59;Estudiantes
Alejo;67;Rosario Central
Federico;54;Independiente
Enrique;69;San Lorenzo
Alejo;41;River
Santiago;24;Velez
Yago;69;Estudiantes
Enrique;55;Independiente
Anibal;66;Huracán
Juan;60;San Lorenzo
Santiago;22;Huracán
Yago;68;Gimnasia LP
Daniel;38;Newells
Martín;46;River
Daniel;31;Estudiantes
Matías;38;Huracán
Martín;37;Velez
Santiago;56;Boca
Juan;50;Gimnasia LP
Alejo;67;Boca
Federico;31;Estudiantes
Anibal;22;Boca
Marcelo;37;Huracán
Marcelo;34;Velez
Marcelo;48;San Lorenzo
Alejo;34;Rosario Central
Marcelo;58;Racing
Luis;46;Racing
Adrián;67;Gimnasia LP
Enrique;66;Gimnasia LP
Matías;62;Estudiantes
Martín;25;Velez
Federico;19;River
Enrique;51;Huracán
Alejandro;40;Velez
Martín;32;River
Alejo;41;Estudiantes
Luis;47;Estudiantes
Mauro;30;Boca
Agustín;41;San Lorenzo
Fernando;41;Estudiantes
Nicolás;37;Newells
Enrique;34;San Lorenzo
Adrián;29;San Lorenzo
Matías;37;River
Mauro;66;Racing
Mauro;61;Rosario Central
Fernando;69;San Lorenzo
Anibal;47;Estudiantes
Agustín;23;Newells
Marcelo;20;Estudiantes
Matías;56;San Lorenzo
Alejo;56;Newells
Luis;59;Rosario Central
Martín;69;Racing
Federico;51;River
Enrique;32;Racing
Martín;52;Huracán
Yago;32;Racing
Yago;47;River
Mauro;49;Racing
Yago;56;Huracán
Marcelo;28;San Lorenzo
Martín;60;Newells
Anibal;55;Independiente
Fernando;36;River
Anibal;60;Racing
Mauro;61;Rosario Central
Enrique;33;Velez
Santiago;58;River
Yago;70;Huracán
Juan;70;Estudiantes
Fernando;22;Estudiantes
Nicolás;25;Boca
Federico;38;Rosario Central
Adrián;34;Boca
Agustín;26;Gimnasia LP
Matías;34;Gimnasia LP
Anibal;52;Newells
Nicolás;32;Independiente
Matías;39;Velez
Nicolás;66;Rosario Central
Mariano;31;Estudiantes
Luis;68;Estudiantes
Nicolás;18;Velez
Marcelo;20;Huracán
Alejandro;45;Huracán
Adrián;49;Rosario Central
Santiago;27;Gimnasia LP
Daniel;38;Boca
Agustín;70;Gimnasia LP
Juan;54;Racing
Mariano;67;Estudiantes
Martín;28;Racing
Agustín;23;Huracán
Agustín;25;Racing
Fernando;58;Independiente
Alejandro;22;Velez
